user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";1342;234;234;234;;
user;36;2014-03-05;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";4323;234;423;234;;
user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
user;34;2014-03-06;Казань;"МЕТРО Кэш энд Керри ООО (1074 Казань)";"г.Казань, ул. Тихорецкая, д.4";"(77) 810508";12;;12;;;
user;34;2014-03-06;Екатеринбург;"О`КЕЙ г.Екатеринбург ул.Бабушкина";"г.Екатеринбург ул.Бабушкина д.2А";"(77) 811166";12;;22;;;
user;34;2014-03-06;Ижевск;"РЦ Тандер Магнит Ижевск";#Н/Д;"(77) 815114";22;;33;;;
